State,industry,population2020,total unemp,unemp rate,population2019,Density,Total Cases,Total Deaths,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020
Alabama,0.5860 ,3876806,166668,7.6,3860481,96.9221,189149 ,2914 ,0.8,0.4,2.8,1.3,-3.2,-29.6
Alaska,0.5197 ,543519,42709,12.4,544756,1.2863,14456 ,77 ,0,-0.1,3.6,-0.5,-6,-33.8
Arizona,0.5182 ,5825181,351156,10,5706551,64.9549,242480 ,5918 ,2.8,3,4.7,4.9,-3.2,-25.3
Arkansas,0.5718 ,2352621,106405,8.1,2342230,58.403,109712 ,1894 ,-1.7,1.5,1.8,1.9,-4,-27.9
California,0.4155 ,31219170,2830936,14.9,31095447,256.3728,912904 ,17541 ,3.6,4.9,1.6,6.6,-4.3,-31.5
Colorado,0.4548 ,4615047,336834,10.6,4541328,56.4012,102014 ,2268 ,4.8,3.9,6,2.5,-1.3,-28.1
Connecticut,0.4537 ,2885941,189064,10.1,2883006,735.8695,70446 ,4609 ,4.9,-1.1,0.6,1.9,-6,-31.1
Delaware,0.4606 ,786638,61540,12.6,777925,504.3073,24553 ,689 ,4.8,0.3,-0.4,1.7,-11.4,-21.9
Florida,0.5094 ,17646713,1003323,10.3,17392505,410.1259,784331 ,16648 ,5.1,1,3,3.4,-4.3,-30.1
Georgia,0.4488 ,8295007,373442,7.6,8189651,186.6726,356848 ,7923 ,0.8,1.2,2.4,1.6,-4,-27.7
Hawaii,0.5884 ,1089320,84481,13.4,1091223,219.9424,14841 ,214 ,0.1,-1,1.5,2.7,-8.9,-42.2
Idaho,0.6101 ,1400916,51639,5.8,1366102,22.097,62746 ,615 ,2.5,3.3,4.7,5.6,-1.9,-32.4
Illinois,0.4251 ,9981183,943602,14.5,9999582,228.0246,400171 ,9945 ,0.9,-1.9,2.8,-0.2,-6.3,-29.7
Indiana,0.6252 ,5281828,376581,11.1,5243794,188.2809,172730 ,4260 ,0.8,1.6,3.3,1.9,-5.2,-33
Iowa,0.5815 ,2475809,137650,8.4,2466913,56.9284,122355 ,1696 ,0.7,0.6,2.4,-1.3,-2,-28.2
Kansas,0.5566 ,2235431,110813,7.5,2228417,35.5968,82045 ,1007 ,1.9,1.4,0.9,2.4,-3.5,-30.3
Kentucky,0.5892 ,3502003,84561,4.4,3492772,113.9566,103305 ,1461 ,1.9,1,2.7,2.3,-5,-34.5
Louisiana,0.5764 ,3572621,190530,9.5,3576475,107.5174,186216 ,5908 ,3,-0.3,4.3,1.4,-11.9,-31.4
Maine,0.6152 ,1115875,44993,6.7,1109748,43.6336,6570 ,146 ,7.6,-0.4,4.6,3.4,-6.5,-34.4
Maryland,0.4496 ,4772693,265266,8.3,4759519,626.6735,144314 ,4137 ,2.5,1.8,1.8,2.8,-3.6,-27.7
Massachusetts,0.3997 ,5656083,653906,17.7,5632358,894.4359,161637 ,9935 ,4.9,1.3,2.3,0.4,-4.3,-31.6
Michigan,0.5442 ,8008545,738476,14.9,7990795,177.665,190043 ,7653 ,0.9,0.3,3.4,0.9,-7.9,-37.6
Minnesota,0.4742 ,4456299,267978,8.6,4421662,71.5922,142311 ,2472 ,0,0.6,2.7,2.4,-6.8,-31.3
Mississippi,0.6772 ,2289533,104956,8.8,2286793,63.7056,119336 ,3328 ,-1.4,0.5,3.3,2.9,-3.7,-32.9
Missouri,0.5064 ,4830042,236203,7.8,4809541,89.7453,177693 ,2899 ,2.7,-1.2,2.7,1.8,-5.1,-32.1
Montana,0.6042 ,858135,38288,7.2,849717,7.4668,30853 ,337 ,2.2,1.8,6,3.5,-4.8,-30.8
Nebraska,0.5419 ,1489812,57731,5.5,1480107,25.4161,68150 ,637 ,-1.3,4.6,5.8,4.1,-3.4,-31
Nevada,0.5997 ,2471346,227426,15.2,2421890,28.5993,98554 ,1769 ,0.5,1.8,4.7,2.7,-4.9,-42.2
New Hampshire,0.5596 ,1128892,66647,9.2,1120437,153.161,10768 ,482 ,8.2,-2.8,0.3,-0.5,-2.2,-36.9
New Jersey,0.3954 ,7078468,766172,16.8,7068793,1215.1985,234547 ,16332 ,0.6,0.5,2.5,1.5,-3.3,-35.6
New Mexico,0.5457 ,1648437,77432,8.4,1638965,17.285,44904 ,994 ,7.3,5.8,6.7,1.7,-4.7,-28.3
New York,0.3808 ,15617170,1467832,15.6,15653901,412.5218,241569 ,9251 ,4.8,2.4,-0.5,1.3,-6.2,-36.3
North Carolina,0.5127 ,8344059,357100,7.5,8236938,218.271,269021 ,4283 ,1.4,2.1,2.9,2.7,-3.5,-30.5
North Dakota,0.5117 ,585479,29833,7.4,582190,11.0393,42483 ,512 ,-0.1,1.6,-0.8,-0.2,-1.6,-27.6
